年份,GDP总量(万亿),GDP增速(%),人均GDP(元)
2019,98.65,6.0,70343
2020,101.36,2.2,72447
2021,114.92,8.4,81268
2022,121.02,3.0,85698
2023,126.06,5.2,89358
